  batch      l2_tst    l2_trn     l2_etst   l2_etrn     l2_ftst   l2_ftrn         lr
      0    8.67e+01  9.87e+01    1.11e+01  1.11e+01    2.74e+00  3.12e+00    5.0e-03
   1000    8.65e+01  9.59e+01    7.13e-02  8.61e-02    2.74e+00  3.03e+00    5.0e-03
   2000    9.40e+01  9.21e+01    5.76e-02  5.62e-02    2.97e+00  2.91e+00    5.0e-03
   3000    8.65e+01  8.95e+01    2.72e-01  2.73e-01    2.74e+00  2.83e+00    5.0e-03
   4000    8.65e+01  6.42e+01    9.57e-02  1.06e-01    2.74e+00  2.03e+00    5.0e-03
   5000    3.16e+01  2.90e+01    1.04e+00  1.04e+00    9.99e-01  9.16e-01    5.0e-03
   6000    8.37e+01  8.20e+01    3.90e-02  4.00e-02    2.65e+00  2.59e+00    5.0e-03
   7000    8.65e+01  1.07e+02    6.11e-01  6.27e-01    2.74e+00  3.37e+00    5.0e-03
   8000    6.10e+01  6.04e+01    7.29e-01  7.31e-01    1.93e+00  1.91e+00    5.0e-03
   9000    8.65e+01  8.85e+01    8.31e-01  8.36e-01    2.74e+00  2.80e+00    5.0e-03
  10000    8.32e+01  8.00e+01    3.56e-01  3.59e-01    2.65e+00  2.54e+00    4.9e-03
  11000    9.34e+01  9.54e+01    3.44e-02  2.58e-02    2.97e+00  3.03e+00    4.9e-03
  12000    8.32e+01  8.46e+01    5.45e-01  5.44e-01    2.64e+00  2.69e+00    4.9e-03
  13000    6.04e+01  6.41e+01    9.83e-02  9.82e-02    1.92e+00  2.04e+00    4.9e-03
  14000    6.07e+01  6.30e+01    7.43e-02  7.30e-02    1.93e+00  2.00e+00    4.9e-03
  15000    9.34e+01  9.98e+01    1.03e+00  1.04e+00    2.97e+00  3.18e+00    4.9e-03
  16000    8.60e+01  8.03e+01    1.26e+00  1.26e+00    2.73e+00  2.55e+00    4.9e-03
  17000    3.14e+01  3.20e+01    6.33e-01  6.36e-01    9.99e-01  1.02e+00    4.9e-03
  18000    3.14e+01  3.29e+01    1.66e-01  1.68e-01    9.99e-01  1.05e+00    4.9e-03
  19000    4.75e+01  6.62e+01    1.43e-01  1.60e-01    1.51e+00  2.10e+00    4.9e-03
  20000    5.89e+01  6.83e+01    5.97e-02  5.27e-02    1.88e+00  2.18e+00    4.9e-03
  21000    4.52e+01  4.06e+01    2.62e-02  3.14e-02    1.45e+00  1.30e+00    4.9e-03
  22000    2.26e+01  1.97e+01    1.77e-01  1.74e-01    7.23e-01  6.29e-01    4.9e-03
  23000    3.31e+01  2.77e+01    2.03e-02  1.34e-02    1.06e+00  8.84e-01    4.9e-03
  24000    3.12e+01  3.03e+01    6.17e-02  6.44e-02    9.99e-01  9.68e-01    4.9e-03
  25000    2.57e+01  3.15e+01    4.03e-02  3.72e-02    8.23e-01  1.01e+00    4.9e-03
  26000    1.16e+01  1.28e+01    7.05e-02  7.01e-02    3.70e-01  4.11e-01    4.9e-03
  27000    7.98e+01  8.56e+01    8.00e-02  8.45e-02    2.55e+00  2.74e+00    4.9e-03
  28000    5.96e+01  5.81e+01    8.14e-02  8.23e-02    1.91e+00  1.86e+00    4.9e-03
  29000    3.12e+01  3.16e+01    1.70e-01  1.68e-01    9.99e-01  1.01e+00    4.9e-03
  30000    6.01e+01  5.21e+01    8.54e-02  7.81e-02    1.93e+00  1.68e+00    4.8e-03
  31000    1.30e+01  1.55e+01    4.47e-02  4.60e-02    4.20e-01  5.00e-01    4.8e-03
  32000    2.28e+01  2.23e+01    1.21e-01  1.22e-01    7.32e-01  7.16e-01    4.8e-03
  33000    2.07e+01  1.96e+01    1.06e-02  8.20e-03    6.66e-01  6.30e-01    4.8e-03
  34000    9.23e+01  1.02e+02    5.96e-01  5.83e-01    2.97e+00  3.29e+00    4.8e-03
  35000    2.90e+01  2.81e+01    2.24e-01  2.28e-01    9.33e-01  9.04e-01    4.8e-03
  36000    1.32e+01  1.36e+01    1.79e-01  1.79e-01    4.24e-01  4.39e-01    4.8e-03
  37000    2.02e+01  2.05e+01    1.49e-01  1.50e-01    6.50e-01  6.59e-01    4.8e-03
  38000    3.44e+01  3.23e+01    7.61e-02  7.69e-02    1.11e+00  1.04e+00    4.8e-03
