nanotube along the armchair direction

2238 atoms 

1 atom types 

#simulation box 
-0.710000 137.020669 xlo xhi
-9.619741 9.619741 ylo yhi
-9.619741 9.619741 zlo zhi

Masses

1 12.010000 

Atoms

1 1 0.000000 6.779741 0.000000
2 1 0.000000 6.631588 1.409587
3 1 1.228024 6.447917 2.095055
4 1 1.228024 5.871428 3.389870
5 1 0.000000 5.484926 3.985032
6 1 0.000000 4.536532 5.038330
7 1 1.228024 3.985032 5.484926
8 1 1.228024 2.757569 6.193602
9 1 0.000000 2.095055 6.447917
10 1 0.000000 0.708676 6.742601
11 1 1.228024 0.000000 6.779741
12 1 1.228024 -1.409587 6.631588
13 1 0.000000 -2.095055 6.447917
14 1 0.000000 -3.389870 5.871428
15 1 1.228024 -3.985032 5.484926
16 1 1.228024 -5.038330 4.536532
17 1 0.000000 -5.484926 3.985032
18 1 0.000000 -6.193602 2.757569
19 1 1.228024 -6.447917 2.095055
20 1 1.228024 -6.742601 0.708676
21 1 0.000000 -6.779741 0.000000
22 1 0.000000 -6.631588 -1.409587
23 1 1.228024 -6.447917 -2.095055
24 1 1.228024 -5.871428 -3.389870
25 1 0.000000 -5.484926 -3.985032
26 1 0.000000 -4.536532 -5.038330
27 1 1.228024 -3.985032 -5.484926
28 1 1.228024 -2.757569 -6.193602
29 1 0.000000 -2.095055 -6.447917
30 1 0.000000 -0.708676 -6.742601
31 1 1.228024 -0.000000 -6.779741
32 1 1.228024 1.409587 -6.631588
33 1 0.000000 2.095055 -6.447917
34 1 0.000000 3.389870 -5.871428
35 1 1.228024 3.985032 -5.484926
36 1 1.228024 5.038330 -4.536532
37 1 0.000000 5.484926 -3.985032
38 1 0.000000 6.193602 -2.757569
39 1 1.228024 6.447917 -2.095055
40 1 1.228024 6.742601 -0.708676
41 1 2.456048 6.779741 0.000000
42 1 2.456048 6.631588 1.409587
43 1 3.684072 6.447917 2.095055
44 1 3.684072 5.871428 3.389870
45 1 2.456048 5.484926 3.985032
46 1 2.456048 4.536532 5.038330
47 1 3.684072 3.985032 5.484926
48 1 3.684072 2.757569 6.193602
49 1 2.456048 2.095055 6.447917
50 1 2.456048 0.708676 6.742601
51 1 3.684072 0.000000 6.779741
52 1 3.684072 -1.409587 6.631588
53 1 2.456048 -2.095055 6.447917
54 1 2.456048 -3.389870 5.871428
55 1 3.684072 -3.985032 5.484926
56 1 3.684072 -5.038330 4.536532
57 1 2.456048 -5.484926 3.985032
58 1 2.456048 -6.193602 2.757569
59 1 3.684072 -6.447917 2.095055
60 1 3.684072 -6.742601 0.708676
61 1 2.456048 -6.779741 0.000000
62 1 2.456048 -6.631588 -1.409587
63 1 3.684072 -6.447917 -2.095055
64 1 3.684072 -5.871428 -3.389870
65 1 2.456048 -5.484926 -3.985032
66 1 2.456048 -4.536532 -5.038330
67 1 3.684072 -3.985032 -5.484926
68 1 3.684072 -2.757569 -6.193602
69 1 2.456048 -2.095055 -6.447917
70 1 2.456048 -0.708676 -6.742601
71 1 3.684072 -0.000000 -6.779741
72 1 3.684072 1.409587 -6.631588
73 1 2.456048 2.095055 -6.447917
74 1 2.456048 3.389870 -5.871428
75 1 3.684072 3.985032 -5.484926
76 1 3.684072 5.038330 -4.536532
77 1 2.456048 5.484926 -3.985032
