# Time-averaged data for fix thermo1
# TimeStep c_myTemp
1000 369.82
2000 371.834
3000 375.091
4000 376.733
5000 375.7
6000 373.845
7000 374.596
8000 380.594
9000 378.365
10000 375.267
11000 372.916
12000 372.913
13000 369.166
14000 376.864
15000 371.469
16000 375.193
17000 375.117
18000 372.457
19000 375.712
20000 372.519
21000 371.403
22000 377.491
23000 370.913
24000 379.917
25000 374.821
26000 374.759
27000 368.914
28000 373.091
29000 373.869
30000 380.635
31000 373.862
32000 380.795
33000 371.743
34000 376.253
35000 375.102
36000 373.701
37000 376.039
38000 375.098
39000 368.312
40000 376.249
41000 376.197
42000 380.011
43000 376.224
44000 376.2
45000 380.276
46000 375.71
47000 373.945
48000 371.665
49000 374.791
50000 372.633
51000 368.901
52000 378.012
53000 374.068
54000 377.467
55000 376.169
56000 373.475
57000 373.303
58000 372.225
59000 372.998
60000 369.213
61000 372.922
62000 377.301
63000 371.558
64000 374.206
65000 373.19
66000 376.206
67000 373.201
68000 369.153
69000 378.99
70000 378.945
71000 371.829
72000 374.335
73000 374.41
74000 377.095
75000 373.494
76000 373.604
77000 369.378
78000 377.398
79000 371.855
80000 377.177
81000 370.026
82000 371.001
83000 375.37
84000 371.113
85000 377.139
86000 370.47
87000 370.34
88000 370.275
89000 377.39
90000 372.971
91000 375.626
92000 370.791
93000 372.49
94000 368.975
95000 371.491
96000 375.798
97000 375.251
98000 373.566
99000 372.513
100000 372.653
101000 376.855
102000 370.337
103000 373.136
104000 376.238
105000 373.206
106000 372.001
107000 379.723
108000 370.934
109000 376.251
110000 372.305
111000 377.562
112000 370.699
113000 370.917
114000 375.092
115000 369.203
116000 375.319
117000 369.25
118000 376.392
119000 373.637
120000 374.418
121000 378.474
122000 371.684
123000 371.186
124000 374.39
125000 372.717
126000 368.428
127000 373.367
128000 374.689
129000 373.703
130000 369.609
131000 379.043
132000 373.908
133000 371.613
134000 372.422
135000 372.983
136000 376.356
137000 372.219
138000 372.645
139000 376.922
140000 371.846
141000 378.613
142000 372.586
143000 370.412
144000 370.366
145000 374.436
146000 373.805
147000 375.598
148000 376.335
149000 373.209
150000 370.902
151000 374.936
152000 378.263
153000 369.284
154000 374.273
155000 376.699
156000 377.206
157000 378.036
158000 373.135
159000 370.351
160000 372.637
161000 374.663
162000 379.175
163000 374.657
164000 371.3
165000 377.877
166000 374.282
167000 373.734
168000 374.857
169000 375.404
170000 372.167
171000 376.953
172000 375.646
173000 374.786
174000 375.147
175000 372.088
176000 375.956
177000 374.078
178000 376.033
179000 374.896
180000 381.385
181000 374.252
182000 371.207
183000 374.956
184000 374.89
185000 380.395
186000 375.417
187000 372.874
188000 376.326
189000 371.344
190000 379.559
191000 374.188
192000 372.135
193000 378.1
194000 371.322
195000 375.758
196000 376.397
197000 375.158
198000 372.221
199000 373.306
200000 373.262
201000 377.895
202000 372.83
203000 375.138
204000 373.905
205000 374.871
206000 375.904
207000 376.203
208000 374.039
209000 376.5
210000 371.505
211000 374.178
212000 373.52
213000 377.277
214000 372.416
215000 376.105
216000 371.926
217000 378.41
218000 372.805
219000 373.164
220000 377.801
221000 372.424
222000 371.41
223000 375.843
224000 373.179
225000 376.096
226000 371.303
227000 376.205
228000 372.995
229000 375.345
230000 373.341
231000 372.868
232000 378.696
233000 372.495
234000 374.393
235000 374.227
236000 375.813
237000 370.987
238000 376.637
239000 373.578
240000 372.783
241000 376.573
242000 369.289
243000 375.474
244000 372.114
245000 370.096
246000 373.04
247000 372.056
248000 377.514
249000 374.118
250000 375.274
251000 378.447
252000 375.675
253000 372.135
254000 373.031
255000 375.576
256000 377.562
257000 373.179
258000 376.266
259000 374.996
260000 374.797
261000 370.232
262000 374.341
263000 367.593
264000 373.657
265000 375.307
266000 373.284
267000 375.845
268000 370.429
269000 372.088
270000 372.052
271000 378.344
272000 374.296
273000 374.346
274000 374.7
275000 373.651
276000 371.094
277000 375.271
278000 375.772
279000 371.023
280000 375.173
281000 372.209
282000 378.708
283000 376.337
284000 377.277
285000 372.03
286000 373.99
287000 375.238
288000 373.62
289000 372.311
290000 374.5
291000 375.026
292000 376.325
293000 372.437
294000 373.102
295000 376.028
296000 377.844
297000 377.627
298000 369.669
299000 375.77
300000 374.977
301000 372.279
302000 370.541
303000 373.448
304000 375.593
305000 372.899
306000 371.95
307000 375.369
308000 375.293
309000 372.416
310000 371.1
311000 372.108
312000 367.225
313000 375.144
314000 374.498
315000 377.236
316000 374.177
317000 374.268
318000 375.537
319000 373.944
