"Battid","Reduced Cell Formula","Type","Spacegroup","Average Voltage","Capacity Grav","Capacity Vol","Specific E Wh/kg","E Density Wh/l","Stability Charge","Stability Discharge",""
"mp-1176725_Li","Li0.13 –1FeBO3","intercalation","P 1","2.97","193","636","573","1889","0.06","0",""
"mp-1222527_Li","Li0 –1VO2","intercalation","-C 2y","2.94","298","1173","875","3442","0.14","0",""
"mp-1216366_Li","LiVFe3(PO4)4","intercalation","P 2y","3.15","171","586","540","1848","0.02","0",""
"mp-775394_Li","LiVFe(PO4)2","intercalation","-P 2yb","2.91","173","586","502","1703","0.02","0",""
"mp-1045561_Li","Li0 –1MnO2","intercalation","-R 3 2""","3.24","285","1159","924","3751","0.01","0",""
"mp-1101449_Li","Li0 –2NbV3O8","intercalation","C 2yc","3.12","138","582","432","1819","0.1","0",""
"mp-1176429_Li","LiMnV(PO4)2","intercalation","-P 2yb","3.1","173","573","536","1774","0.03","0",""
"mp-559701_Li","Li0 –0.5VF3","intercalation","P 1","2.99","120","414","360","1239","0.05","0",""
"mp-1101506_Li","Li0 –1MoP2O7","intercalation","-P 2ybc","3.25","97","305","315","993","0","0",""
"mp-769757_Li","Li6 –8CrO6","intercalation","P 1","3.02","263","609","797","1843","0.08","0",""
"mp-769767_Li","Li2 –3CrO4","intercalation","P 2ac 2","2.92","196","508","572","1483","0.02","0",""
"mp-540082_Li","LiMo2(PO4)3","intercalation","-P 2ybc","3.23","162","531","522","1715","0","0",""
"mp-767345_Li","LiCr5(Si2O7)2","intercalation","-P 1","2.99","88","296","263","887","0.1","0",""
"mp-1110680_Li","Li0 –1Rb2SbCl6","intercalation","-F 4 2 3","3.06","52","153","160","468","0","0",""
"mp-1177801_Li","Li2 –4VCr3O8","intercalation","-C 2y","3.14","148","597","464","1876","0.09","0",""
"mp-768041_Li","LiMnCr3(PO4)4","intercalation","P 2y","2.97","173","571","515","1697","0.01","0",""
"mp-761634_Li","LiMnCr(PO4)2","intercalation","-P 2yb","3.27","172","570","564","1863","0.01","0",""
"mp-771457_Li","Li0 –1NbFeO4","intercalation","P 4cw 2c","3.1","122","536","378","1659","0.11","0",""
"mp-25214_Li","Li0 –1NbO2","intercalation","-P 6c 2c","2.91","203","1124","591","3265","0.29","0",""
"mp-18968_Li","Li1 –2FeSiO4","intercalation","P 1","3.17","166","521","526","1654","0.07","0",""
"mp-762650_Li","Li1 –2FeSiO4","intercalation","P 2c 2n","3.16","166","518","524","1638","0.07","0",""
"mp-772356_Li","LiV3Cr3(WO8)2","intercalation","P 1","3.04","112","590","339","1793","0.09","0",""
"mp-18722_Li","Li0 –1Cs2MnO4","intercalation","C 2c 2","3.22","68","284","220","916","0.04","0",""
"mp-1210860_Li","Li0 –1FeWClO4","intercalation","P 4ab 2ab 1ab","3.3","77","341","255","1125","0.06","0",""
"mvc-14856_Al","Al0.67 –1CuO2","intercalation","P 1","3.22","219","1086","704","3493","0.31","0",""
"mvc-13349_Al","Al1.33 –2CoO4","intercalation","-C 2y","3.22","303","1300","975","4183","0.17","0",""
"mvc-13581_Al","Al0.67 –1FePO5","intercalation","-P 2ybc","3.24","138","423","448","1370","0.16","0",""
"mvc-15040_Al","AlMn13Si2(SbO14)2","intercalation","P 1","2.94","205","898","601","2636","0.24","0",""
"mp-1221594_Al","Al0 –2MnO4","intercalation","I 4bw 2bw 1bw","3.08","930","3728","2867","11492","0.5","0",""
"mvc-11142_Zn","Zn0 –1CrF6","intercalation","-R 3","3.3","232","846","764","2789","0","0",""
"mp-1047910_Zn","Zn0 –1BaCrF7","intercalation","-P 2ybc","3.08","138","643","425","1977","0","0",""
"mp-1045828_Mg","MgV(PO3)4","intercalation","-P 1","3.17","137","393","434","1243","0.03","0",""
"mp-1221953_Mg","Mg0 –1NiO2","intercalation","-R 3 2""","3.19","466","2349","1485","7483","0.09","0",""
"mp-585433_Li","Li0 –1FePO4","intercalation","C 2yc","3.28","170","490","557","1606","0.01","0.01",""
"mp-761484_Li","Li0 –1FePO4","intercalation","P 2c 2ac","3.23","170","496","549","1603","0","0.01",""
"mp-766777_Li","Li0 –1FePO4","intercalation","P 2c 2ac","3.25","170","498","553","1620","0.01","0.01",""
"mp-694615_Li","Li0 –1FePO4","intercalation","C 2yc","3.29","170","492","558","1615","0.01","0.01",""
"mp-763333_Li","Li1.5 –2VO2F","intercalation","-C 2y","3.07","116","400","355","1227","0.08","0.01",""
"mp-763051_Li","Li1.5 –2VO2F","intercalation","-P 1","2.91","116","400","336","1162","0.07","0.01",""
"mp-770056_Li","Li0 –3Mn4CoO8","intercalation","-C 2y","2.98","188","848","561","2528","0.05","0.01",""
"mp-764903_Li","Li6 –8FeO5F","intercalation","P 1","3.3","255","592","840","1953","0.09","0.01",""
"mp-769456_Li","LiNa5Fe2P2(CO7)2","intercalation","P 2yc","2.99","49","145","147","432","0.02","0.01",""
"mp-25576_Li","Li0 –0.5MoO2","intercalation","I 4bw 2bw 1bw","3.14","102","491","321","1544","0.23","0.01",""
"mp-763751_Li","Li1 –2CoNiO4","intercalation","-I 2b 2","3.29","137","654","451","2149","0","0.01",""
"mp-767966_Li","LiNa5Fe2P2(CO7)2","intercalation","P 1","3","49","144","148","433","0.02","0.01",""
"mp-770394_Li","LiNa5Fe2P2(CO7)2","intercalation","-P 1","2.9","49","144","143","418","0.01","0.01",""
"mp-769488_Li","LiNa5Fe2P2(CO7)2","intercalation","P 2yb","2.93","49","144","144","422","0.01","0.01",""
"mp-1176763_Li","LiFe2(CO3)3","intercalation","P 1","3.17","175","515","557","1636","0.05","0.01",""
"mp-1101595_Li","LiMo2(PO4)3","intercalation","P 1","3.15","162","527","508","1657","0","0.01",""
"mp-18162_Li","Li0 –0.5CuO","intercalation","-P 2ac 2n","3.01","161","856","486","2578","0.16","0.01",""
"mp-510751_Li","Li0 –0.5CuO","intercalation","P 4n 2n 1n","3.08","161","855","498","2637","0.18","0.01",""
"mp-769577_Li","Li2 –4VCr3O8","intercalation","P 1","3.09","148","599","457","1855","0.09","0.01",""
"mp-1176330_Li","LiNa5Mn2P2(CO7)2","intercalation","P 2y","3.22","49","141","159","454","0","0.01",""
"mp-773987_Li","Li0 –7Ti12Fe5O32","intercalation","R 3","3.29","133","504","437","1660","0.1","0.01",""
"mp-774710_Li","LiBa14Y7(Cu10O21)2","intercalation","P 1","3.07","6","35","18","107","0.02","0.01",""
"mvc-14109_Al","Al1.33 –2CoO4","intercalation","P 1","3.13","303","1298","949","4066","0.16","0.01",""
"mp-1040921_Mg","Mg0 –0.5MnO2","intercalation","P 1","3","270","1119","811","3354","0.09","0.01",""
"mp-769727_Mg","MgLi3(NiO2)4","intercalation","-C 2y","2.91","131","623","383","1812","0.01","0.01",""
"mp-769537_Mg","Mg0 –1Li14Co13O28","intercalation","-P 1","3.12","40","193","125","602","0.02","0.01",""
"mp-1048266_Mg","Mg0 –1CrP2O7","intercalation","-P 2ybc","3.28","214","677","704","2223","0.11","0.01",""
"mp-762268_Li","Li1 –2VO3","intercalation","P 1","3.13","238","822","743","2572","0.08","0.02",""
"mp-767662_Li","LiFe3(BO3)4","intercalation","P 2yc","2.96","123","375","362","1108","0.08","0.02",""
"mp-31846_Li","Li0 –1FePO4","intercalation","P 2yc","3.21","170","490","546","1575","0","0.02",""
"mp-1177681_Li","Li0.13 –0.88FeBO3","intercalation","P 1","3.01","166","548","500","1645","0.07","0.02",""
"mp-775044_Li","Li1 –2VO3","intercalation","-C 2y","3.24","238","821","771","2663","0.11","0.02",""
"mp-761486_Li","Li0 –1FePO4","intercalation","I 4","3.13","170","499","532","1563","0","0.02",""
"mp-762589_Li","LiMn5(NiO6)2","intercalation","P 2yb","3.03","43","198","131","599","0.04","0.02",""
"mp-772251_Li","Li0 –3Mn4NiO8","intercalation","-C 2y","3.25","188","866","611","2812","0.09","0.02",""
"mp-1174312_Li","Li2 –4Mn3O7","intercalation","-P 1","2.94","176","682","518","2007","0.01","0.02",""
"mp-1100486_Li","Li4 –9Mn7O16","intercalation","-C 2y","3.25","191","745","620","2423","0.06","0.02",""
